genome_id,antibiotic,resistance,source
1829869852,Tetracycline,Resistant,NCBI
28901.24798,Ampicillin,Resistant,BV-BRC
1078034.93,Amoxicillin,Resistant,BV-BRC
210.6025,Levofloxacin,Resistant,BV-BRC
573.46851,Gentamicin,Resistant,BV-BRC
3069135318,Amoxicillin,Susceptible,NCBI
1852342596,Levofloxacin,Resistant,NCBI
624.4414,Azithromycin,Resistant,BV-BRC
573.21290,Gentamicin,Resistant,BV-BRC
573.68224,Tetracycline,Resistant,BV-BRC
485.15142,Cefixime,Susceptible,BV-BRC
573.66908,Meropenem,Susceptible,BV-BRC
3054143602,Ampicillin,Resistant,NCBI
3199881175,Ampicillin,Susceptible,NCBI
1313.27274,Penicillin,Susceptible,BV-BRC
1158543.3,Vancomycin,Resistant,BV-BRC
2446569096,Azithromycin,Resistant,NCBI
1280.29790,Clindamycin,Susceptible,BV-BRC
1313.24732,Penicillin,Susceptible,BV-BRC
3032952038,Amoxicillin,Resistant,NCBI
1352.20825,Vancomycin,Resistant,BV-BRC
573.43199,Ciprofloxacin,Resistant,BV-BRC
573.56204,Gentamicin,Susceptible,BV-BRC
2848921093,Penicillin,Resistant,NCBI
623.1315,Azithromycin,Susceptible,BV-BRC
28901.8532,Azithromycin,Susceptible,BV-BRC
2569269059,Cefixime,Susceptible,NCBI
2128726438,Vancomycin,Susceptible,NCBI
1313.32370,Penicillin,Resistant,BV-BRC
573.43187,Levofloxacin,Susceptible,BV-BRC
1463164.46,Ampicillin,Resistant,BV-BRC
1323655.3,Gentamicin,Resistant,BV-BRC
573.19906,Gentamicin,Resistant,BV-BRC
1352.10055,Vancomycin,Susceptible,BV-BRC
573.69632,Tetracycline,Susceptible,BV-BRC
573.62468,Levofloxacin,Susceptible,BV-BRC
485.473,Azithromycin,Resistant,BV-BRC
3201415652,Clindamycin,Susceptible,NCBI
2284316514,Clindamycin,Resistant,NCBI
2553936797,Vancomycin,Susceptible,NCBI
1280.19052,Penicillin,Susceptible,BV-BRC
562.57099,Ampicillin,Resistant,BV-BRC
1280.8389,Tetracycline,Susceptible,BV-BRC
1280.13830,Clindamycin,Resistant,BV-BRC
925190036,Vancomycin,Resistant,NCBI
573.29393,Ciprofloxacin,Resistant,BV-BRC
3211785014,Meropenem,Susceptible,NCBI
573.13987,Tetracycline,Resistant,BV-BRC
1280.44773,Clindamycin,Resistant,BV-BRC
1280.38126,Ciprofloxacin,Resistant,BV-BRC
3032191163,Amoxicillin,Resistant,NCBI
485.8183,Cefixime,Resistant,BV-BRC
3232545948,Amoxicillin,Susceptible,NCBI
573.13652,Ciprofloxacin,Resistant,BV-BRC
72407.1883,Gentamicin,Resistant,BV-BRC
3199611251,Meropenem,Susceptible,NCBI
1280.23698,Penicillin,Resistant,BV-BRC
1733.2526,Ofloxacin,Resistant,BV-BRC
3061755148,Ampicillin,Susceptible,NCBI
562.23376,Amoxicillin,Resistant,BV-BRC
28901.8667,Ampicillin,Susceptible,BV-BRC
1240774.3,Amoxicillin,Resistant,BV-BRC
1280.37346,Clindamycin,Susceptible,BV-BRC
573.44773,Ciprofloxacin,Resistant,BV-BRC
1773.21451,Ofloxacin,Susceptible,BV-BRC
562.98288,Gentamicin,Susceptible,BV-BRC
2429356862,Meropenem,Resistant,NCBI
3150694373,Ampicillin,Resistant,NCBI
1280.45015,Erythromycin,Susceptible,BV-BRC
573.56168,Tetracycline,Susceptible,BV-BRC
1132352449,Erythromycin,Resistant,NCBI
1352.10610,Vancomycin,Susceptible,BV-BRC
624.2459,Azithromycin,Resistant,BV-BRC
1280.8329,Vancomycin,Susceptible,BV-BRC
2553661060,Vancomycin,Susceptible,NCBI
2324817916,Ampicillin,Susceptible,NCBI
573.48227,Levofloxacin,Resistant,BV-BRC
1280.30089,Tetracycline,Susceptible,BV-BRC
2302942530,Vancomycin,Susceptible,NCBI
573.73498,Meropenem,Resistant,BV-BRC
28901.763,Ampicillin,Susceptible,BV-BRC
90370.4099,Ampicillin,Resistant,BV-BRC
3276028356,Ofloxacin,Resistant,NCBI
2192626173,Amoxicillin,Susceptible,NCBI
1313.45140,Azithromycin,Resistant,BV-BRC
2711444568,Ciprofloxacin,Resistant,NCBI
1181742.3,Amoxicillin,Resistant,BV-BRC
562.23545,Amoxicillin,Resistant,BV-BRC
1773.23450,Ofloxacin,Susceptible,BV-BRC
562.65312,Amoxicillin,Susceptible,BV-BRC
573.52367,Gentamicin,Susceptible,BV-BRC
486990.9,Azithromycin,Susceptible,BV-BRC
1280.51789,Vancomycin,Susceptible,BV-BRC
573.49109,Tetracycline,Susceptible,BV-BRC
3070379776,Meropenem,Susceptible,NCBI
2991388669,Levofloxacin,Susceptible,NCBI
1313.22520,Penicillin,Resistant,BV-BRC
1313.29846,Erythromycin,Susceptible,BV-BRC
54388.338,Ciprofloxacin,Susceptible,BV-BRC
1280.35157,Penicillin,Susceptible,BV-BRC
1280.50181,Vancomycin,Susceptible,BV-BRC
192955.96,Ampicillin,Susceptible,BV-BRC
2793861531,Vancomycin,Susceptible,NCBI
1313.45340,Vancomycin,Susceptible,BV-BRC
573.29560,Gentamicin,Resistant,BV-BRC
